source_target_gene,n_cells
HEXIM1,67
HGS,31
HHEX,202
HINFP,92
HIPK1,101
HIRA,233
HIST1H2AB,76
HIST1H2AE,77
HIST1H2AI,43
HIST1H2BB,82
HIST1H2BC,174
HIST1H2BE,67
HIST1H2BJ,74
HIST1H2BL,91
HIST1H2BM,83
HIST1H2BN,90
HIST2H2AA3,21
HIST2H2AC,17
HIST2H2BE,111
HIST2H2BF,69
HIST2H3A,85
HIST2H3D,139
HJURP,150
HLA-C,97
HMBOX1,66
HMGA1,62
HMGB1,130
HMGB3,75
HMGCR,8
HMGCS1,135
HMGN2,55
HMX3,172
HNRNPA1,108
HNRNPC,23
HNRNPDL,58
HNRNPH1,69
HNRNPK,40
HNRNPL,223
HNRNPM,155
HNRNPR,68
HNRNPU,40
HOXA3,117
HOXC10,53
HPS5,62
HS6ST1,169
HSCB,326
HSD17B10,669
HSD17B12,340
HSF1,32
HSP90B1,166
HSPA5,26
HSPA8,155
HSPA9,64
HSPA14,151
HSPD1,90
HSPE1,159
HSPH1,72
HTATSF1,88
HUS1,199
HUWE1,84
HYOU1,56
HYPK,105
IARS,62
IARS2,88
ICE1,51
IFITM2,55
IFITM3,81
IGBP1,72
IK,361
ILF2,91
ILF3,91
IMP3,6
IMP4,97
IMPA2,77
IMPDH2,101
INCENP,6
INF2,101
ING3,228
INO80,79
INO80B,129
INO80C,188
INO80D,16
INO80E,83
INPPL1,119
INTS1,87
INTS2,40
INTS3,92
INTS4,66
INTS5,43
INTS6,108
INTS7,10
INTS8,140
INTS9,149
INTS10,92
INTS11,76
INTS12,119
INTS13,330
INTS14,410
IPO7,129
IPO9,140
IPO11,103
IPO13,229
IRF2BP2,91
ISCA2,131
ISCU,55
ISG20L2,86
IST1,122
ISY1,33
ITGB1BP1,73
IWS1,151
JAZF1,265
JMJD6,133
KANSL1,99
KANSL2,85
KANSL3,129
KARS,43
KAT5,38
KAT7,88
KAT8,110
KATNB1,77
KCMF1,91
KCNA10,77
KCTD10,34
KDM1A,195
KDM2A,59
KDM5C,102
KDM6A,154
KDM8,63
KEAP1,136
KIAA0586,63
KIAA1143,134
KIF4A,70
KIF11,9
KIF14,30
KIF18A,47
KIF18B,90
KIF20A,38
KIF23,9
KIN,69
KLC2,81
KLF7,70
KLHL11,97
KLHL17,72
KPNA6,91
KPNB1,99
KRI1,172
KRR1,90
KRT8,193
KRT10,208
KRT17,445
KRTAP4-2,129
KRTAP4-7,93
KTI12,195
KXD1,41
LAMB1,50
LAMTOR1,293
LAMTOR2,133
LAMTOR3,80
LAMTOR4,77
LARS,65
LARS2,113
LAS1L,160
LCE1C,64
LCE1E,122
LCN10,81
LDB1,146
LENG8,35
LEO1,81
LETM1,162
LIMS1,128
LIN52,22
LIN54,271
LMO2,185
LONP1,63
LPA,59
LPIN1,178
LRP5,89
LRPPRC,50
LRR1,66
LRRC37A3,108
LRRC37B,97
LSG1,167
LSM2,15
LSM3,129
LSM4,44
LSM5,126
LSM6,63
LSM7,91
LSM10,103
LSM11,28
LSM12,108
LST1,136
LTB4R2,101
LTBP3,162
LTBP4,111
LTV1,142
LUC7L3,19
LURAP1,79
LYRM4,41
LZTR1,192
MAD2L1,73
MAD2L2,150
MAGOH,155
MAK16,54
MALSU1,96
MANF,144
MAP2K7,34
MARS,75
MARS2,84
MASTL,58
MAT2A,45
MAU2,72
MAX,78
MBD3,174
MBIP,71
MBNL1,246
MBTPS1,192
MBTPS2,148
MCEE,37
MCL1,15
MCM2,117
MCM3,323
MCM3AP,28
MCM4,42
MCM5,100
MCM6,358
MCM7,137
MCM10,27
MCMBP,178
MCRS1,30
MDN1,83
MED1,120
MED4,219
MED6,52
MED7,47
MED8,109
MED9,70
MED10,45
MED11,95
MED12,143
MED14,273
MED16,56
MED17,34
MED18,82
MED19,267
MED20,171
MED21,58
MED22,58
MED24,44
MED26,82
MED27,35
MED28,39
MED29,40
MED30,97
MED31,51
MEF2A,12
MEIS3,189
MEMO1,59
MEN1,91
MEPCE,76
METAP1,95
METAP2,74
METTL1,103
METTL3,177
METTL14,87
METTL16,55
METTL17,83
METTL21A,55
METTL23,103
MEX3A,61
MFAP1,22
MFN2,177
MICOS10,150
MIER1,116
MIOS,131
MIPEP,105
MIS12,30
MIS18A,61
MIS18BP1,350
MKRN1,181
MLLT6,243
MLST8,64
MMGT1,66
MMP17,63
MMS19,114
MMS22L,14
MNAT1,145
MOB4,203
MOCS3,75
MOG,63
MOK,53
MON1A,162
MPG,66
MPHOSPH6,263
MPHOSPH10,150
MRGBP,176
MRM1,93
MRPL1,96
MRPL2,84
MRPL3,147
MRPL4,104
MRPL9,106
MRPL10,103
MRPL11,36
MRPL13,54
MRPL14,82
MRPL15,91
MRPL16,176
MRPL17,75
MRPL18,72
MRPL19,69
MRPL20,69
MRPL21,22
MRPL22,43
MRPL23,65
MRPL24,147
MRPL27,169
MRPL28,120
MRPL32,29
MRPL33,65
MRPL34,798
MRPL35,998
MRPL36,1192
MRPL37,75
MRPL38,131
MRPL39,206
MRPL41,151
MRPL42,89
MRPL43,48
MRPL44,78
MRPL45,28
MRPL46,88
MRPL49,55
MRPL50,107
MRPL51,42
MRPL53,73
MRPL54,156
MRPL55,56
MRPS2,56
MRPS5,129
MRPS6,152
MRPS7,89
MRPS9,112
MRPS10,81
MRPS11,101
MRPS12,56
MRPS14,29
MRPS16,156
MRPS17,100
MRPS18A,82
MRPS18B,21
MRPS18C,51
MRPS21,185
MRPS22,72
MRPS23,69
MRPS24,51
MRPS25,104
MRPS26,110
MRPS27,112
MRPS28,86
MRPS30,75
MRPS31,59
MRPS33,70
MRPS34,170
MRPS35,107
MRTO4,62
MSL1,85
