source_target_gene,n_cells
ANP32A,450
ANP32B,268
ANP32D,166
ANP32E,335
ANPEP,374
ANTKMT,151
ANTXR1,477
ANTXR2,109
ANXA1,176
ANXA10,185
ANXA11,283
ANXA13,389
ANXA2,112
ANXA2R,138
ANXA3,128
ANXA4,81
ANXA5,102
ANXA6,293
ANXA7,97
ANXA9,122
AOAH,275
AOC1,707
AOC2,63
AOC3,365
AOPEP,400
AOX1,475
AP1AR,136
AP1B1,294
AP1G1,938
AP1G2,124
AP1M1,377
AP1M2,197
AP1S1,54
AP1S2,138
AP1S3,44
AP2A1,87
AP2A2,255
AP2B1,287
AP2M1,213
AP2S1,542
AP3B1,161
AP3B2,190
AP3D1,19
AP3M1,45
AP3M2,168
AP3S1,83
AP3S2,326
AP4B1,220
AP4E1,56
AP4M1,137
AP4S1,68
AP5B1,200
AP5M1,187
AP5S1,256
AP5Z1,363
APAF1,348
APBA1,114
APBA2,259
APBA3,91
APBB1,73
APBB1IP,144
APBB2,266
APBB3,258
APC,606
APC2,529
APCDD1,134
APCDD1L,101
APCS,470
APEH,285
APEX1,132
APEX2,98
APH1A,241
APH1B,557
API5,183
APIP,77
APLF,173
APLN,280
APLNR,239
APLP1,516
APLP2,58
APMAP,164
APOA1,331
APOA2,168
APOA4,449
APOA5,402
APOB,61
APOBEC1,195
APOBEC2,222
APOBEC3A,697
APOBEC3B,97
APOBEC3F,63
APOBEC3G,181
APOBEC3H,333
APOBEC4,375
APOBR,667
APOC1,515
APOC2,230
APOC3,15
APOC4,232
APOD,218
APOE,334
APOF,414
APOH,567
APOL1,426
APOL2,228
APOL3,462
APOL4,606
APOL5,96
APOL6,87
APOLD1,175
APOO,269
APOOL,181
APP,137
APPBP2,130
APPL1,120
APPL2,93
APRG1,585
APRT,90
APTX,262
AQP1,92
AQP10,118
AQP11,249
AQP12A,144
AQP12B,97
AQP2,272
AQP3,367
AQP4,436
AQP5,59
AQP6,109
AQP7,148
AQP8,164
AQP9,455
AQR,11
AR,107
ARAF,135
ARAP1,618
ARAP2,219
ARAP3,99
ARC,252
ARCN1,20
AREG,240
AREL1,264
ARF1,187
ARF3,523
ARF4,78
ARF5,476
ARF6,225
ARFGAP1,220
ARFGAP2,259
ARFGAP3,79
ARFGEF1,83
ARFGEF2,168
ARFGEF3,240
ARFIP1,265
ARFIP2,60
ARFRP1,14
ARG1,214
ARG2,408
ARGFX,134
ARGLU1,369
ARHGAP1,188
ARHGAP10,236
ARHGAP11A,374
ARHGAP11B,476
ARHGAP12,159
ARHGAP15,152
ARHGAP17,256
ARHGAP18,286
ARHGAP19,66
ARHGAP20,127
ARHGAP21,222
ARHGAP22,55
ARHGAP23,97
ARHGAP24,206
ARHGAP25,215
ARHGAP26,20
ARHGAP27,494
ARHGAP28,124
ARHGAP29,81
ARHGAP30,364
ARHGAP31,115
ARHGAP32,287
ARHGAP33,113
ARHGAP35,323
ARHGAP36,206
ARHGAP39,584
ARHGAP4,141
ARHGAP40,97
ARHGAP42,310
ARHGAP44,4
ARHGAP45,204
ARHGAP5,316
ARHGAP6,138
ARHGAP8,751
ARHGAP9,584
ARHGDIA,229
ARHGDIB,105
ARHGDIG,150
ARHGEF1,344
ARHGEF10,35
ARHGEF10L,22
ARHGEF11,61
ARHGEF12,154
ARHGEF15,184
ARHGEF16,395
ARHGEF17,49
ARHGEF18,119
ARHGEF19,93
ARHGEF2,264
ARHGEF25,178
ARHGEF26,14
ARHGEF28,305
ARHGEF3,59
ARHGEF33,258
ARHGEF35,312
ARHGEF37,425
ARHGEF38,208
ARHGEF39,370
ARHGEF4,323
ARHGEF40,166
ARHGEF5,162
ARHGEF6,337
ARHGEF7,182
ARHGEF9,251
ARID1A,56
ARID1B,276
ARID2,295
ARID3A,585
ARID3B,98
