target_gene,n_dataset_contexts,n_canonical_contexts,n_studies,n_crispri_dataset_contexts,n_crispri_canonical_contexts,dataset_contexts,canonical_contexts,studies,present_in_replogle_k562,present_in_vcc2025_h1,present_in_vcc2026_panel,nominal_exposure_class
SRP14,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRP19,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRP54,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRP68,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRP72,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRP9,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRPK1,4,4,2,4,4,mcfaline2024::A172;mcfaline2024::T98G;mcfaline2024::U87MG;replogle2022::K562,A172;K562;T98G;U87MG,mcfaline2024;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRPK2,4,4,2,4,4,mcfaline2024::A172;mcfaline2024::T98G;mcfaline2024::U87MG;replogle2022::K562,A172;K562;T98G;U87MG,mcfaline2024;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRPK3,3,3,1,3,3,mcfaline2024::A172;mcfaline2024::T98G;mcfaline2024::U87MG,A172;T98G;U87MG,mcfaline2024,False,False,False,seen_multiple_dataset_contexts
SRPRB,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRR,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRRD,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRRM1,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRRM2,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRRT,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF1,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF10,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF11,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF2,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF3,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRSF5,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,True,seen_one_dataset_context
SRSF6,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF7,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SRSF8,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRSF9,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRXN1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SRY,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SS18,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SS18L1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SS18L2,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SSB,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSBP1,5,5,3,5,5,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1;vcc2025_h1::H1,H1;HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022;vcc2025,True,True,False,seen_multiple_dataset_contexts
SSBP2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSBP3,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SSBP4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSH2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSNA1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSR1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSR2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSR3,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSR4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,True,seen_one_dataset_context
SSRP1,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SSU72,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SSX1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSX2IP,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSX3,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SSX4,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
ST13,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST18,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST20-MTHFS,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST3GAL2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST3GAL4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST6GAL1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST6GALNAC1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST6GALNAC4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST6GALNAC6,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST7,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
ST7L,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAC3,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAG1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAG2,5,5,3,5,5,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1;vcc2025_h1::H1,H1;HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022;vcc2025,True,True,False,seen_multiple_dataset_contexts
STAM,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAM2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAMBP,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAP2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAR,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STARD10,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STARD3,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STARD3NL,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STARD4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STARD7,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
STARD8,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
STAT1,8,7,3,8,7,jiang2025::A549;jiang2025::BxPC3;jiang2025::HAP1;jiang2025::HT29;jiang2025::K562;jiang2025::MCF7;replogle2022::K562;vcc2025_h1::H1,A549;BxPC3;H1;HAP1;HT29;K562;MCF7,jiang2025;replogle2022;vcc2025,True,True,False,seen_multiple_dataset_contexts
STAT2,7,6,2,7,6,jiang2025::A549;jiang2025::BxPC3;jiang2025::HAP1;jiang2025::HT29;jiang2025::K562;jiang2025::MCF7;replogle2022::K562,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
STAT3,7,6,2,7,6,jiang2025::A549;jiang2025::BxPC3;jiang2025::HAP1;jiang2025::HT29;jiang2025::K562;jiang2025::MCF7;replogle2022::K562,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
STAT4,7,6,2,7,6,jiang2025::A549;jiang2025::BxPC3;jiang2025::HAP1;jiang2025::HT29;jiang2025::K562;jiang2025::MCF7;replogle2022::K562,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
