target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
ACOT13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOT4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACOT7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOT8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOT9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOX1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACOX3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACOXL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACP1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACP2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACP3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACP4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACP5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACP6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACP7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACRBP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACSBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSF2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSF3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSL1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSL3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSL4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSM1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSM2B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSM3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSM5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSM6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACSS2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACSS3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTA1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTA2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACTB,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTC1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTG1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACTG2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTL10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTL6A,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTL8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
